x=-1491.0, y=-9566.0 | w=None  , h=None   | r=None           | name=keyboard_search_clear     | {} | 
x=-1529.0, y=-9559.0 | w=None  , h=None   | r=None           | name=그룹 58                     | {} | 
x=3313.4, y=-7653.9 | w=None  , h=None   | r=None           | name=패스 93                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=3313.4, y=-7490.8 | w=None  , h=None   | r=None           | name=패스 93                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=3313.4, y=-7364.8 | w=None  , h=None   | r=None           | name=패스 93                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=3313.4, y=-7203.7 | w=None  , h=None   | r=None           | name=패스 93                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3092.6, y=-6832.0 | w=None  , h=None   | r=None           | name=패스 94                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3092.6, y=-6798.0 | w=None  , h=None   | r=None           | name=패스 95                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3092.6, y=-6763.0 | w=None  , h=None   | r=None           | name=패스 96                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3092.6, y=-6729.0 | w=None  , h=None   | r=None           | name=패스 97                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6647.4 | w=None  , h=None   | r=None           | name=패스 95                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6614.7 | w=None  , h=None   | r=None           | name=패스 96                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6580.9 | w=None  , h=None   | r=None           | name=패스 97                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6487.4 | w=None  , h=None   | r=None           | name=패스 95                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6454.7 | w=None  , h=None   | r=None           | name=패스 96                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6361.4 | w=None  , h=None   | r=None           | name=패스 95                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6328.6 | w=None  , h=None   | r=None           | name=패스 96                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6294.9 | w=None  , h=None   | r=None           | name=패스 97                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6200.3 | w=None  , h=None   | r=None           | name=패스 95                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6167.6 | w=None  , h=None   | r=None           | name=패스 96                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-3078.5, y=-6133.8 | w=None  , h=None   | r=None           | name=패스 97                     | {'stroke': '#1c4aa0 (Nonepx)'} | 
x=-6745.2, y=-1265.4 | w=None  , h=None   | r=None           | name=ico_chevron_down          | {'stroke': '#ffffff (Nonepx)'} | 
x= 116.0, y=  -7.0 | w=None  , h=None   | r=None           | name=마스크 그룹 8                  | {} | 
x=  96.0, y=  -5.0 | w=None  , h=None   | r=None           | name=ico_org_1                 | {} | 
x=   0.0, y=   0.0 | w=1920  , h=90     | r=None           | name=사각형 7                     | {'fill': '#ffffff'} | 
x=   0.0, y=   0.0 | w=None  , h=None   | r=None           | name=ico_home                  | {} | 
x=   0.0, y=   0.0 | w=None  , h=None   | r=None           | name=img_logo                  | {} | 
x=   0.0, y=   0.0 | w=None  , h=None   | r=None           | name=ico_org_3                 | {} | 
x=   0.0, y=   0.0 | w=None  , h=None   | r=None           | name=그룹 116                    | {} | 
x=   2.0, y=   0.0 | w=None  , h=None   | r=None           | name=ico_chevron_down          | {} | 
x= 107.4, y=   0.0 | w=None  , h=None   | r=None           | name=그룹 33                     | {} | 
x= 116.0, y=  18.1 | w=None  , h=None   | r=None           | name=ico_org_2                 | {} | 
x=1744.0, y=  20.0 | w=160   , h=50     | r=[7, 7, 7, 7]   | name=bt_home                   | {'fill': '#d8e0f3', 'stroke': '#b3c3e8 (Nonepx)'} | 
x=  26.0, y=  21.6 | w=None  , h=None   | r=None           | name=패스 86                     | {'fill': '#1a1311'} | 
